Q3 10/195, 50 executions, 2.7s
Q3 20/195, 100 executions, 5.4s
Q3 30/195, 150 executions, 8.3s
Q3 40/195, 200 executions, 11.2s
Q3 50/195, 250 executions, 14.0s
Q3 60/195, 300 executions, 16.9s
Q3 70/195, 350 executions, 19.9s
Q3 80/195, 400 executions, 22.9s
Q3 90/195, 450 executions, 25.9s
Q3 100/195, 500 executions, 28.9s
Q3 110/195, 550 executions, 31.6s
Q3 120/195, 600 executions, 34.3s
Q3 130/195, 650 executions, 37.3s
Q3 140/195, 700 executions, 40.2s
Q3 150/195, 750 executions, 43.1s
Q3 151/195, 755 executions, 43.3s
Q3 152/195, 760 executions, 43.6s
Q3 153/195, 765 executions, 43.9s
Q3 154/195, 770 executions, 44.2s
Q3 155/195, 775 executions, 44.5s
Q3 156/195, 780 executions, 44.8s
Q3 157/195, 785 executions, 45.2s
Q3 158/195, 790 executions, 45.6s
Q3 159/195, 795 executions, 45.9s
Q3 160/195, 800 executions, 46.2s
Q3 161/195, 805 executions, 46.4s
Q3 162/195, 810 executions, 46.7s
Q3 163/195, 815 executions, 47.0s
Q3 164/195, 820 executions, 47.3s
Q3 165/195, 825 executions, 47.6s
Q3 166/195, 830 executions, 48.1s
Q3 167/195, 835 executions, 48.4s
Q3 168/195, 840 executions, 48.8s
Q3 169/195, 845 executions, 49.0s
Q3 170/195, 850 executions, 49.2s
Q3 171/195, 855 executions, 49.4s
Q3 172/195, 860 executions, 49.7s
Q3 173/195, 865 executions, 49.9s
Q3 174/195, 870 executions, 50.2s
Q3 175/195, 875 executions, 50.5s
Q3 176/195, 880 executions, 50.9s
Q3 177/195, 885 executions, 51.2s
Q3 178/195, 890 executions, 51.4s
Q3 179/195, 895 executions, 51.6s
Q3 180/195, 900 executions, 51.9s
Q3 181/195, 905 executions, 52.2s
Q3 182/195, 910 executions, 52.5s
Q3 183/195, 915 executions, 52.8s
Q3 184/195, 920 executions, 53.1s
Q3 185/195, 925 executions, 53.5s
Q3 186/195, 930 executions, 53.8s
Q3 187/195, 935 executions, 54.1s
Q3 188/195, 940 executions, 54.3s
Q3 189/195, 945 executions, 54.5s
Q3 190/195, 950 executions, 54.8s
Q3 191/195, 955 executions, 55.1s
Q3 192/195, 960 executions, 55.4s
Q3 193/195, 965 executions, 55.8s
Q3 194/195, 970 executions, 56.1s
Q3 195/195, 975 executions, 56.5s
Q4 10/195, 1035 executions, 59.5s
Q4 20/195, 1095 executions, 62.7s
Q4 30/195, 1155 executions, 66.0s
Q4 40/195, 1215 executions, 69.2s
Q4 50/195, 1275 executions, 72.0s
Q4 60/195, 1335 executions, 75.1s
Q4 70/195, 1395 executions, 78.3s
Q4 80/195, 1455 executions, 81.7s
Q4 90/195, 1515 executions, 85.0s
Q4 100/195, 1575 executions, 87.8s
Q4 110/195, 1635 executions, 90.5s
Q4 120/195, 1695 executions, 93.3s
Q4 130/195, 1755 executions, 96.2s
Q4 140/195, 1815 executions, 99.0s
Q4 150/195, 1875 executions, 101.7s
Q4 151/195, 1881 executions, 101.8s
Q4 152/195, 1887 executions, 102.0s
Q4 153/195, 1893 executions, 102.2s
Q4 154/195, 1899 executions, 102.4s
Q4 155/195, 1905 executions, 102.6s
Q4 156/195, 1911 executions, 102.9s
Q4 157/195, 1917 executions, 103.1s
Q4 158/195, 1923 executions, 103.4s
Q4 159/195, 1929 executions, 103.6s
Q4 160/195, 1935 executions, 104.0s
Q4 161/195, 1941 executions, 104.2s
Q4 162/195, 1947 executions, 104.4s
Q4 163/195, 1953 executions, 104.8s
Q4 164/195, 1959 executions, 105.2s
Q4 165/195, 1965 executions, 105.5s
Q4 166/195, 1971 executions, 105.9s
Q4 167/195, 1977 executions, 106.4s
Q4 168/195, 1983 executions, 106.7s
Q4 169/195, 1989 executions, 107.0s
Q4 170/195, 1995 executions, 107.3s
Q4 171/195, 2001 executions, 107.5s
Q4 172/195, 2007 executions, 107.8s
Q4 173/195, 2013 executions, 108.2s
Q4 174/195, 2019 executions, 108.5s
Q4 175/195, 2025 executions, 108.8s
Q4 176/195, 2031 executions, 109.2s
Q4 177/195, 2037 executions, 109.5s
Q4 178/195, 2043 executions, 109.8s
Q4 179/195, 2049 executions, 110.0s
Q4 180/195, 2055 executions, 110.3s
Q4 181/195, 2061 executions, 110.5s
Q4 182/195, 2067 executions, 110.8s
Q4 183/195, 2073 executions, 111.1s
Q4 184/195, 2079 executions, 111.5s
Q4 185/195, 2085 executions, 111.8s
Q4 186/195, 2091 executions, 112.1s
Q4 187/195, 2097 executions, 112.4s
Q4 188/195, 2103 executions, 112.6s
Q4 189/195, 2109 executions, 112.9s
Q4 190/195, 2115 executions, 113.2s
Q4 191/195, 2121 executions, 113.6s
Q4 192/195, 2127 executions, 113.8s
Q4 193/195, 2133 executions, 114.2s
Q4 194/195, 2139 executions, 114.5s
Q4 195/195, 2145 executions, 114.8s
Completed 2145 executions
