all_cleared,faster_cases,max_total_s,max_wall_s,mean_commands,mean_cpu_s,mean_init_s,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,pooled_per_source_s,problem,runs,slower_cases,split,worst_regression_s
150,0,5460.628604,0.2876712919678539,145.70666666666668,0.17743586666666686,7.833856041543186e-05,356.8369879786737,4447.86247554,0.1777933967144539,peer_layout9_proxy,5198.039857,353.0049583761905,3,150,0,ordinary,0.0
150,150,3690.401629,0.0440041670226492,142.20666666666668,0.02459745999999998,6.925610553783675e-05,254.153658438472,3148.187263686667,0.024619133554709453,clearance7,3601.8192676500003,249.85613203862437,3,150,0,ordinary,-260.7935990000001
150,150,3924.879199,0.051707749953493476,160.18,0.02598296000000015,7.449054081613818e-05,272.1832570698738,3371.699903306667,0.026009153335665662,clearance9,3685.13106485,267.59523042116405,3,150,0,ordinary,-235.80232700000033
150,150,3677.768287,0.03618762502446771,142.00666666666666,0.0251535066666667,8.250278731187184e-05,253.25448471138603,3135.4489088933333,0.025177091150932637,packet_center7,3586.9105823,248.8451514994709,3,150,0,ordinary,-260.7935990000001
150,150,4185.277412,0.046279291971586645,160.24666666666667,0.026909853333333303,7.772217271849513e-05,270.52451618406116,3353.2533398266664,0.026936001107096673,packet_center9,3696.62808545,266.1312174465608,3,150,0,ordinary,-241.9764970000001
45,0,5659.475759,0.3331608749576844,140.9777777777778,0.1863229333333327,8.6436174913413e-05,378.3836636214102,4782.290680666667,0.18646567137782566,peer_layout9_proxy,5638.714461,367.8685138974359,3,45,0,stress,0.0
45,39,4860.483335,0.035605500044766814,143.4,0.025715066666666234,6.999262453367313e-05,287.35072996064105,3606.2576933999994,0.02573520838179522,clearance7,4763.0232976,277.40443795384607,3,45,6,stress,327.1074959999996
45,44,4304.634652,0.03839166701072827,156.26666666666668,0.02611711111111074,7.38462058102919e-05,284.61790691081194,3551.7344403555558,0.02619196193215127,clearance9,4251.6455322,273.210341565812,3,45,1,stress,4.431767000000036
45,39,4860.483335,0.037734624987933785,146.6888888888889,0.02648606666666669,8.487399382930662e-05,290.26646698108976,3644.2104365333325,0.026506686117500067,packet_center7,4763.0232976,280.3238797333333,3,45,6,stress,327.1074959999996
45,44,4304.634652,0.03945345798274502,157.2888888888889,0.026727133333333264,7.835102474523915e-05,285.5982816740171,3562.693410822222,0.026745287978297307,packet_center9,4251.6455322,274.05333929401706,3,45,1,stress,4.431767000000036
150,0,7235.642285,0.07158200000412762,334.3466666666667,0.04121311333333357,0.00016095006139948964,523.0970677099889,6456.904082813334,0.04128406335910161,quarter22,6956.2145156,512.4527049851852,4,150,0,ordinary,0.0
150,57,7542.890915,0.08017045800806955,346.52,0.04834027333333296,0.00014700661801422636,526.3641220091794,6500.430575153333,0.04840022888849489,clearance_f015_22,7009.07985965,515.9071885042327,4,150,93,ordinary,1171.3354229999995
150,99,7007.839095,0.06184733402915299,330.2266666666667,0.04083625999999943,0.00015818775864318013,512.1126356526476,6319.031837193334,0.0408785530560029,packet_center22,6835.00045825,501.5104632693122,4,150,39,ordinary,626.3620219999993
150,75,7587.427073,0.07186974998330697,332.4533333333333,0.04868923333333361,0.0001461210831378897,522.3932306729034,6457.349548433333,0.048735125211145106,packet_action4_22,7188.1972132,512.4880593994709,4,150,75,ordinary,1035.5792229999997
150,81,7619.682902,0.07177524996222928,331.94,0.049611226666666536,0.00015109195141121745,519.6177916632253,6422.267169673334,0.04965972029642823,packet_action24_22,7187.32761425,509.7037436248678,4,150,69,ordinary,919.7288179999996
150,59,8148.426944,0.08091799996327609,329.5466666666667,0.05472025999999999,0.001242706672831749,531.0833298655051,6558.751117626666,0.05479912107771573,packet_discover300_22,7303.6804928,520.5358029862433,4,150,91,ordinary,1087.4848809999994
45,0,8271.727779,0.06390512496000156,354.4,0.03975397777777737,0.00016640192673852047,547.1539686401068,6808.128113355558,0.03981493792962283,quarter22,7819.697665,523.7021625658122,4,45,0,stress,0.0
45,23,7637.413171,0.09381975000724196,362.6666666666667,0.04714395555555516,0.00018097406589529582,542.6003166869657,6748.538408155554,0.04726733050904133,clearance_f015_22,7499.0286534,519.1183390888888,4,45,22,stress,502.80161599999974
45,23,8271.727779,0.06841320800594985,348.02222222222224,0.042357755555556764,0.00016768806122450364,540.8305469266239,6709.645296711113,0.042431199980071846,packet_center22,7819.697665,516.1265612854702,4,45,10,stress,775.6077930000001
45,25,8146.271836,0.07049600000027567,350.0,0.04457615555555492,0.00016721484328930576,539.1203289446795,6713.900561600001,0.0446719740711463,packet_action4_22,7629.595672199999,516.4538893538463,4,45,14,stress,1383.3904360000001
45,25,8146.271836,0.07241487497230992,349.3777777777778,0.04611008888888806,0.00015869073233463698,538.2385543924146,6699.563543022224,0.046148924151849416,packet_action24_22,7629.595672199999,515.3510417709402,4,45,14,stress,1376.2434740000003
45,28,8149.722777,0.07736595900496468,349.8666666666667,0.05307913333333387,0.0012608861356663208,543.952159193782,6774.057234133331,0.0531541453803786,packet_discover300_22,7709.1249013999995,521.081325702564,4,45,17,stress,1383.3904360000001
