Q3 5/93, 10 executions, 0.3s
Q3 10/93, 20 executions, 0.6s
Q3 15/93, 30 executions, 0.9s
Q3 20/93, 40 executions, 1.2s
Q3 25/93, 50 executions, 1.5s
Q3 30/93, 60 executions, 1.8s
Q3 35/93, 70 executions, 2.1s
Q3 40/93, 80 executions, 2.3s
Q3 45/93, 90 executions, 2.6s
Q3 50/93, 100 executions, 2.9s
Q3 55/93, 110 executions, 3.2s
Q3 60/93, 120 executions, 3.5s
Q3 65/93, 130 executions, 3.8s
Q3 70/93, 140 executions, 4.1s
Q3 75/93, 150 executions, 4.4s
Q3 76/93, 152 executions, 4.5s
Q3 77/93, 154 executions, 4.5s
Q3 78/93, 156 executions, 4.6s
Q3 79/93, 158 executions, 4.6s
Q3 80/93, 160 executions, 4.7s
Q3 81/93, 162 executions, 4.8s
Q3 82/93, 164 executions, 4.8s
Q3 83/93, 166 executions, 4.9s
Q3 84/93, 168 executions, 4.9s
Q3 85/93, 170 executions, 5.0s
Q3 86/93, 172 executions, 5.0s
Q3 87/93, 174 executions, 5.1s
Q3 88/93, 176 executions, 5.2s
Q3 89/93, 178 executions, 5.2s
Q3 90/93, 180 executions, 5.3s
Q3 91/93, 182 executions, 5.3s
Q3 92/93, 184 executions, 5.4s
Q3 93/93, 186 executions, 5.4s
Q4 5/93, 226 executions, 7.6s
Q4 10/93, 266 executions, 10.0s
Q4 15/93, 306 executions, 12.4s
Q4 20/93, 346 executions, 14.8s
Q4 25/93, 386 executions, 16.9s
Q4 30/93, 426 executions, 19.1s
Q4 35/93, 466 executions, 21.3s
Q4 40/93, 506 executions, 23.5s
Q4 45/93, 546 executions, 25.8s
Q4 50/93, 586 executions, 27.8s
Q4 55/93, 626 executions, 29.9s
Q4 60/93, 666 executions, 32.1s
Q4 65/93, 706 executions, 34.3s
Q4 70/93, 746 executions, 36.6s
Q4 75/93, 786 executions, 38.6s
Q4 76/93, 794 executions, 38.8s
Q4 77/93, 802 executions, 39.1s
Q4 78/93, 810 executions, 39.3s
Q4 79/93, 818 executions, 39.7s
Q4 80/93, 826 executions, 40.0s
Q4 81/93, 834 executions, 40.4s
Q4 82/93, 842 executions, 40.7s
Q4 83/93, 850 executions, 41.0s
Q4 84/93, 858 executions, 41.4s
Q4 85/93, 866 executions, 41.8s
Q4 86/93, 874 executions, 42.2s
Q4 87/93, 882 executions, 42.6s
Q4 88/93, 890 executions, 43.0s
Q4 89/93, 898 executions, 43.3s
Q4 90/93, 906 executions, 43.7s
Q4 91/93, 914 executions, 44.2s
Q4 92/93, 922 executions, 44.8s
Q4 93/93, 930 executions, 45.3s
Completed 930 executions
