all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,3840.961227,0.03865029104053974,143.56,0.0,0.0,256.0797207902222,3092.048695453333,0.027394271089384952,service_locked1_area7,3749.291914,3,75,0,ordinary
75,0,3840.961227,0.039658292022068053,143.56,0.0,0.0,256.0797207902222,3092.048695453333,0.028856407799758017,vector_service_locked1_area7,3749.291914,3,75,0,ordinary
18,0,4704.144997,0.03375612501986325,127.5,0.0,0.0,263.42841175,3202.2800626666663,0.02670952099854023,service_locked1_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.034247875039000064,127.5,0.0,0.0,263.42841175,3202.2800626666663,0.028198983665788546,vector_service_locked1_area7,4682.41171505,3,18,0,stress
75,0,6741.454896,0.09558354096952826,283.49333333333334,0.0,0.08,504.88106501399983,6045.647312693332,0.05303057171947633,service_free2_grid21_29,6502.1505518,4,75,0,ordinary
75,0,6741.454896,0.10353416699217632,283.49333333333334,0.0,0.08,504.88106501399983,6045.647312693332,0.058761096079833805,vector_service_free2_grid21_29,6502.1505518,4,75,0,ordinary
75,0,6300.414792,0.06046899995999411,286.24,0.0,0.05333333333333334,492.44276017066676,5916.37929764,0.045831464377697556,service_locked0_grid21_29,6263.305334,4,75,23,ordinary
75,0,6300.414792,0.06402475002687424,286.24,0.0,0.05333333333333334,492.44276017066676,5916.37929764,0.04955488054547459,vector_service_locked0_grid21_29,6263.305334,4,75,23,ordinary
75,0,6854.833329,0.08673570799874142,291.76,0.0,0.2,511.152136972,6126.577144346666,0.05599944999907166,service_free1_convex22,6570.024279,4,75,50,ordinary
75,0,6854.833329,0.09233166603371501,291.76,0.0,0.2,511.152136972,6126.577144346666,0.06069847779969374,vector_service_free1_convex22,6570.024279,4,75,50,ordinary
75,0,6421.744184,0.07137658400461078,291.58666666666664,0.0,0.3466666666666667,500.80701190733333,5995.6160652,0.04737565108186876,service_locked1_convex22,6333.7917316,4,75,33,ordinary
75,0,6421.744184,0.07522624998819083,291.58666666666664,0.0,0.3466666666666667,500.80701190733333,5995.6160652,0.05132150780021524,vector_service_locked1_convex22,6333.7917316,4,75,33,ordinary
18,0,7131.80167,0.07817841600626707,297.5,0.0,2.8333333333333335,515.2954259819445,6211.9781486111115,0.0463799306178569,service_free2_grid21_29,7128.77572185,4,18,0,stress
18,0,7131.80167,0.0844655410037376,297.5,0.0,2.8333333333333335,515.2954259819445,6211.9781486111115,0.0507016896089125,vector_service_free2_grid21_29,7128.77572185,4,18,0,stress
18,0,7709.328944,0.052072833001147956,321.8333333333333,0.0,2.8333333333333335,518.3433407152778,6306.191762444445,0.038549289333685816,service_locked0_grid21_29,7590.751132199999,4,18,6,stress
18,0,7709.328944,0.05403629201464355,321.8333333333333,0.0,2.8333333333333335,518.3433407152778,6306.191762444445,0.040649828898798056,vector_service_locked0_grid21_29,7590.751132199999,4,18,6,stress
18,0,7962.371104,0.07322279195068404,305.1111111111111,0.0,3.0555555555555554,513.2630016777778,6238.790591777779,0.04456197211079092,service_free1_convex22,7499.435315849999,4,18,9,stress
18,0,7962.371104,0.0793533330434002,305.1111111111111,0.0,3.0555555555555554,513.2630016777778,6238.790591777779,0.048364069332213454,vector_service_free1_convex22,7499.435315849999,4,18,9,stress
18,0,7328.777675,0.06433650001417845,327.22222222222223,0.0,3.0555555555555554,520.3201196972223,6338.419434222223,0.0413256643320589,service_locked1_convex22,7324.4761344,4,18,10,stress
18,0,7328.777675,0.06695749994833022,327.22222222222223,0.0,3.0555555555555554,520.3201196972223,6338.419434222223,0.043074062556519896,vector_service_locked1_convex22,7324.4761344,4,18,10,stress
