active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,modeled_known_scan_pairs,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,service_order_mode,service_route_plans,service_scan_cost_weight,service_scan_order_cost_s,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,0,12,10,136,1.0,,,arc,0,0.02126800000000001,10,3,5,False,,False,,0,0,,0,0,,,122,service_locked1_area7,[],122,11477.146886982022,0,53.406136007817565,0.0,7,,,307.8429376,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,9,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3078.429376,,,True,0.02165275003062561
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,0,12,10,136,1.0,,,arc,0,0.022841,10,3,5,False,,False,,0,0,,0,0,,,122,vector_service_locked1_area7,[],122,11477.146886982022,0,53.406136007817565,0.0,7,,,307.8429376,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,9,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3078.429376,,,True,0.022858708049170673
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,8,19,15,140,1.0,,,arc,0,0.03265700000000005,15,4,8,False,,False,,0,0,,0,0,,,119,service_locked1_area7,[],279,11126.421130519257,0,63.65259511219628,0.0,11,,,201.35228173333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,21,,5,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,113,3020.284226,,,True,0.03272249997826293
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,8,19,15,140,1.0,,,arc,0,0.035294999999999965,15,4,8,False,,False,,0,0,,0,0,,,119,vector_service_locked1_area7,[],279,11126.421130519257,0,63.65259511219628,0.0,11,,,201.35228173333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,21,,5,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,113,3020.284226,,,True,0.035307499987538904
5,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,4,6,16,15,151,1.0,,,arc,0,0.031440000000000023,15,11,12,False,,False,,0,0,,0,0,,,133,service_locked1_area7,[],318,12530.945493030598,0,45.95042603669498,0.0,4,,,224.8126068,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,30,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3372.189102,,,True,0.031481250014621764
5,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,4,6,16,15,151,1.0,,,arc,0,0.034082999999999974,15,11,12,False,,False,,0,0,,0,0,,,133,vector_service_locked1_area7,[],318,12530.945493030598,0,45.95042603669498,0.0,4,,,224.8126068,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,30,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3372.189102,,,True,0.03413799998816103
5,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,4,2,11,10,139,1.0,,,arc,0,0.021851000000000065,10,6,7,False,,False,,0,0,,0,0,,,126,service_locked1_area7,[],158,10781.635850640385,0,33.084375729977445,0.0,4,,,295.5327167,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,2955.327167,,,True,0.021888333023525774
5,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,4,2,11,10,139,1.0,,,arc,0,0.023502000000000023,10,6,7,False,,False,,0,0,,0,0,,,126,vector_service_locked1_area7,[],158,10781.635850640385,0,33.084375729977445,0.0,4,,,295.5327167,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,2955.327167,,,True,0.02355691703269258
6,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,8,7,14,12,133,1.0,,,arc,0,0.026658999999999988,12,4,6,False,,False,,0,0,,0,0,,,117,service_locked1_area7,[],157,11847.452014270917,0,46.30547086971889,0.0,8,,,260.9575336666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,0.5,locked,19,1.0,0.0,23,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,111,3131.490404,,,True,0.026659290946554393
6,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,8,7,14,12,133,1.0,,,arc,0,0.029094999999999982,12,4,6,False,,False,,0,0,,0,0,,,117,vector_service_locked1_area7,[],157,11847.452014270917,0,46.30547086971889,0.0,8,,,260.9575336666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,0.5,locked,19,1.0,0.0,23,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,111,3131.490404,,,True,0.029136416967958212
