Q3 10/195, 40 executions, 2.6s
Q3 20/195, 80 executions, 5.2s
Q3 30/195, 120 executions, 7.8s
Q3 40/195, 160 executions, 10.5s
Q3 50/195, 200 executions, 13.2s
Q3 60/195, 240 executions, 16.1s
Q3 70/195, 280 executions, 19.0s
Q3 80/195, 320 executions, 21.8s
Q3 90/195, 360 executions, 24.8s
Q3 100/195, 400 executions, 27.7s
Q3 110/195, 440 executions, 30.2s
Q3 120/195, 480 executions, 32.8s
Q3 130/195, 520 executions, 35.3s
Q3 140/195, 560 executions, 38.0s
Q3 150/195, 600 executions, 40.5s
Q3 151/195, 604 executions, 40.8s
Q3 152/195, 608 executions, 41.0s
Q3 153/195, 612 executions, 41.3s
Q3 154/195, 616 executions, 41.6s
Q3 155/195, 620 executions, 41.9s
Q3 156/195, 624 executions, 42.2s
Q3 157/195, 628 executions, 42.5s
Q3 158/195, 632 executions, 42.9s
Q3 159/195, 636 executions, 43.2s
Q3 160/195, 640 executions, 43.5s
Q3 161/195, 644 executions, 43.7s
Q3 162/195, 648 executions, 43.9s
Q3 163/195, 652 executions, 44.2s
Q3 164/195, 656 executions, 44.5s
Q3 165/195, 660 executions, 44.8s
Q3 166/195, 664 executions, 45.1s
Q3 167/195, 668 executions, 45.4s
Q3 168/195, 672 executions, 45.8s
Q3 169/195, 676 executions, 46.0s
Q3 170/195, 680 executions, 46.2s
Q3 171/195, 684 executions, 46.4s
Q3 172/195, 688 executions, 46.6s
Q3 173/195, 692 executions, 46.8s
Q3 174/195, 696 executions, 47.1s
Q3 175/195, 700 executions, 47.4s
Q3 176/195, 704 executions, 47.7s
Q3 177/195, 708 executions, 48.0s
Q3 178/195, 712 executions, 48.2s
Q3 179/195, 716 executions, 48.4s
Q3 180/195, 720 executions, 48.6s
Q3 181/195, 724 executions, 48.9s
Q3 182/195, 728 executions, 49.2s
Q3 183/195, 732 executions, 49.4s
Q3 184/195, 736 executions, 49.7s
Q3 185/195, 740 executions, 50.0s
Q3 186/195, 744 executions, 50.3s
Q3 187/195, 748 executions, 50.6s
Q3 188/195, 752 executions, 50.8s
Q3 189/195, 756 executions, 51.0s
Q3 190/195, 760 executions, 51.2s
Q3 191/195, 764 executions, 51.5s
Q3 192/195, 768 executions, 51.8s
Q3 193/195, 772 executions, 52.1s
Q3 194/195, 776 executions, 52.5s
Q3 195/195, 780 executions, 52.8s
Q4 10/195, 850 executions, 55.8s
Q4 20/195, 920 executions, 58.8s
Q4 30/195, 990 executions, 62.0s
Q4 40/195, 1060 executions, 65.1s
Q4 50/195, 1130 executions, 68.0s
Q4 60/195, 1200 executions, 70.9s
Q4 70/195, 1270 executions, 73.9s
Q4 80/195, 1340 executions, 77.0s
Q4 90/195, 1410 executions, 80.1s
Q4 100/195, 1480 executions, 82.9s
Q4 110/195, 1550 executions, 85.6s
Q4 120/195, 1620 executions, 88.4s
Q4 130/195, 1690 executions, 91.2s
Q4 140/195, 1760 executions, 94.0s
Q4 150/195, 1830 executions, 96.7s
Q4 151/195, 1837 executions, 96.9s
Q4 152/195, 1844 executions, 97.1s
Q4 153/195, 1851 executions, 97.3s
Q4 154/195, 1858 executions, 97.5s
Q4 155/195, 1865 executions, 97.8s
Q4 156/195, 1872 executions, 98.0s
Q4 157/195, 1879 executions, 98.2s
Q4 158/195, 1886 executions, 98.5s
Q4 159/195, 1893 executions, 98.7s
Q4 160/195, 1900 executions, 99.0s
Q4 161/195, 1907 executions, 99.3s
Q4 162/195, 1914 executions, 99.5s
Q4 163/195, 1921 executions, 99.9s
Q4 164/195, 1928 executions, 100.2s
Q4 165/195, 1935 executions, 100.5s
Q4 166/195, 1942 executions, 100.9s
Q4 167/195, 1949 executions, 101.3s
Q4 168/195, 1956 executions, 101.6s
Q4 169/195, 1963 executions, 101.9s
Q4 170/195, 1970 executions, 102.1s
Q4 171/195, 1977 executions, 102.4s
Q4 172/195, 1984 executions, 102.6s
Q4 173/195, 1991 executions, 102.9s
Q4 174/195, 1998 executions, 103.2s
Q4 175/195, 2005 executions, 103.5s
Q4 176/195, 2012 executions, 103.8s
Q4 177/195, 2019 executions, 104.0s
Q4 178/195, 2026 executions, 104.3s
Q4 179/195, 2033 executions, 104.5s
Q4 180/195, 2040 executions, 104.7s
Q4 181/195, 2047 executions, 105.0s
Q4 182/195, 2054 executions, 105.4s
Q4 183/195, 2061 executions, 105.6s
Q4 184/195, 2068 executions, 106.0s
Q4 185/195, 2075 executions, 106.3s
Q4 186/195, 2082 executions, 106.6s
Q4 187/195, 2089 executions, 106.9s
Q4 188/195, 2096 executions, 107.1s
Q4 189/195, 2103 executions, 107.4s
Q4 190/195, 2110 executions, 107.7s
Q4 191/195, 2117 executions, 108.0s
Q4 192/195, 2124 executions, 108.2s
Q4 193/195, 2131 executions, 108.5s
Q4 194/195, 2138 executions, 108.9s
Q4 195/195, 2145 executions, 109.2s
Completed 2145 executions
