all_cleared,faster_cases,max_total_s,max_wall_s,mean_commands,mean_cpu_s,mean_init_s,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,pooled_per_source_s,problem,runs,slower_cases,split,worst_regression_s
150,0,5487.973664,0.28021066600922495,143.12,0.1870207333333333,7.105472963303327e-05,368.12822573539097,4524.973434946666,0.18716729387291708,peer_layout9_proxy,5243.3681909,361.9978747957333,3,150,0,ordinary,0.0
150,150,3927.834423,0.0360058750375174,142.86,0.02486180666666694,6.638778606429696e-05,252.86931711398952,3099.3793392000002,0.0248810691467952,clearance7,3588.5619996999994,247.950347136,3,150,0,ordinary,-543.8185409999996
150,150,3921.883285,0.035729958035517484,142.84666666666666,0.024758066666666672,7.519060707030196e-05,252.55930150746582,3095.675105146667,0.02477844029238137,area_return1_7,3587.3419614999993,247.65400841173337,3,150,0,ordinary,-551.1632749999999
150,150,3922.672846,0.03991958301048726,142.18,0.02860270666666678,7.290722569450737e-05,253.8475709463219,3111.7230404933334,0.02862420806506028,expanded_area_return1_7,3572.7157065999995,248.9378432394667,3,150,0,ordinary,-549.983714
45,0,5775.291078,0.26129266602220014,142.6888888888889,0.18520595555555544,7.02129832158486e-05,384.8371267446582,4863.322252155554,0.18534403228873594,peer_layout9_proxy,5729.926977,374.10171170427344,3,45,0,stress,0.0
45,40,4757.7589,0.036877332953736186,141.64444444444445,0.02561782222222209,6.583888445877366e-05,282.8306527975427,3546.1897158222223,0.025632556489047904,clearance7,4731.988394399999,272.7838242940171,3,45,5,stress,491.6463039999994
45,42,4744.336558,0.03651700000045821,141.3111111111111,0.02530137777777826,7.049633164165748e-05,280.801585408953,3526.453684755555,0.0253170777991828,area_return1_7,4724.3550224,271.2656680581196,3,45,3,stress,345.0568309999994
45,42,4736.997486,0.044357749982737005,140.2888888888889,0.031179644444444755,7.006200289146767e-05,283.6572434307478,3567.3204216888885,0.031280404598348674,expanded_area_return1_7,4682.895329399999,274.4092632068376,3,45,3,stress,277.32466499999964
150,0,7353.325512,0.06514129100833088,336.8,0.04174010000000095,0.0001349286133578668,512.083936414882,6228.418236906667,0.04181857304065488,quarter22,6874.201404549999,498.2734589525333,4,150,0,ordinary,0.0
150,111,6966.489791,0.07386304199462757,328.31333333333333,0.04045859333333415,0.00014186141508010526,495.0536538418001,6003.113446139999,0.040491540252696724,packet_center22,6806.0587992499995,480.24907569119995,4,150,23,ordinary,2166.2785339999996
150,53,7322.717334,0.08328637504018843,346.92,0.049307079999999906,0.00013745719760966798,514.876045824144,6263.517726779999,0.04935333692585118,clearance_f015_22,6911.706918299999,501.0814181423999,4,150,97,ordinary,1772.4289139999996
150,127,6970.212661,0.05193824996240437,318.9266666666667,0.03566393333333328,0.0001555700006429106,491.26725902886636,5961.889726813333,0.03569933945468316,packet_wide5_22,6620.147735049999,476.95117814506665,4,150,23,ordinary,2253.245594
150,115,7010.571128,0.06044583400944248,319.62,0.035248126666667,0.00013884857180528342,494.32937013140435,6011.891341793333,0.03527635414386168,width40_22,6757.0160759499995,480.95130734346657,4,150,35,ordinary,1905.4348799999998
150,119,7342.04312,0.06567204202292487,318.78,0.03542474666666654,0.0001370113998806725,493.1824906750951,5994.256742586666,0.0354574155951074,width_uncertainty100_22,6728.1552758,479.5405394069333,4,150,30,ordinary,1743.6476189999998
150,118,7031.62037,0.06127241702051833,319.2266666666667,0.036348860000000136,0.0001357217024390896,492.4631557311743,5985.883795379999,0.03638014142517932,width40_f015_22,6699.978173299999,478.87070363039993,4,150,32,ordinary,2092.447941
45,0,7997.500354,0.07824191695544869,357.6222222222222,0.03991686666666775,0.0001404297499296566,554.6171271626067,6933.230938555555,0.03995122777737884,quarter22,7741.0338582,533.3254568119658,4,45,0,stress,0.0
45,24,8167.611018,0.07273862499278039,358.3333333333333,0.042694244444443384,0.00014976962184947397,554.7021995609829,6924.437638444443,0.042722844534243146,packet_center22,7637.7124796,532.649049111111,4,45,15,stress,1344.9413569999997
45,25,7908.957298,0.08894945896463469,360.8666666666667,0.04552200000000002,0.00015204073602540625,545.3440824497864,6807.222360222223,0.0455589193617925,clearance_f015_22,7567.2472956,523.6324892478633,4,45,20,stress,299.2925069999992
45,26,8302.614622,0.04407004197128117,341.53333333333336,0.033206599999999434,0.0001620407125705646,547.8155592063675,6839.473571644444,0.033229552838020024,packet_wide5_22,7753.027226,526.1133516649572,4,45,19,stress,1211.7846090000003
45,27,8327.296597,0.04064804199151695,333.0444444444444,0.0324171333333352,0.00013809904016347395,546.1575298787393,6827.149708777777,0.032437449005535905,width40_22,7806.2038649999995,525.1653622136752,4,45,18,stress,557.6862579999997
45,33,8359.060868,0.03978950000600889,326.8222222222222,0.03194719999999999,0.00013643509268553721,536.4570142778846,6684.958133866667,0.03197001293560283,width_uncertainty100_22,7775.4432864,514.2275487589743,4,45,12,stress,451.0033480000002
45,35,7779.190888,0.043396082997787744,334.9555555555556,0.03296462222221995,0.00013544260420733027,536.7713426970299,6689.450361155556,0.03298514997845309,width40_f015_22,7412.7905744,514.5731047042735,4,45,10,stress,1749.6389399999998
