active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,forced_continuations,inconsistent_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
19,0,True,,,,,,uniform__iid__107,uniform__iid,11,11,11,143,,,,0.15834,11,,,,,,0,4.875002196058631e-05,,,,,,130,peer_layout9_proxy,[],19045.70550044166,0,,0.0,,,,420.9219182727273,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,116,4630.141101,,,,0.16002166602993384
8,0,True,0,0,0,0,0,uniform__iid__107,uniform__iid,8,14,11,146,,,,0.02516999999999997,11,3,6,,,,0,8.349999552592635e-05,,18,0,,,130,clearance7,[],10089.002140124034,0,69.72775043313601,0.0,8,,,259.34549336363636,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,16,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,121,2852.800427,,,,0.025189834006596357
8,0,True,0,0,0,0,0,uniform__iid__107,uniform__iid,8,14,11,146,1.0,,,0.024469999999999992,11,3,6,False,,,0,8.045899448916316e-05,,18,0,,,130,area_return1_7,[],10089.002140124034,0,69.72775043313601,0.0,8,,,259.34549336363636,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,16,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,121,2852.800427,,,True,0.02451391698559746
6,0,True,0,0,0,0,0,uniform__iid__107,uniform__iid,6,12,11,141,1.0,,,0.027470999999999968,11,5,6,True,,,0,6.9500005338341e-05,,18,0,,,127,expanded_area_return1_7,[],10225.981730880907,0,59.87706768871166,0.0,6,,,259.8360313636363,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,15,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,120,2858.196345,,,True,0.02749850001418963
20,0,True,,,,,,uniform__iid__108,uniform__iid,11,11,11,144,,,,0.17207699999999998,11,,,,,,0,7.095804903656244e-05,,,,,,131,peer_layout9_proxy,[],17130.134704750628,0,,0.0,,,,386.72972154545454,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,118,4254.026937,,,,0.17228483397047967
4,0,True,0,0,0,0,0,uniform__iid__108,uniform__iid,6,11,11,139,,,,0.021334000000000075,11,5,5,,,,0,6.437499541789293e-05,,18,0,,,126,clearance7,[],12054.326812495525,0,33.53101559824009,0.0,6,,,291.9877600909091,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,13,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,116,3211.865361,,,,0.021335458965040743
4,0,True,0,0,0,0,0,uniform__iid__108,uniform__iid,6,11,11,139,1.0,,,0.021458000000000088,11,5,5,False,,,0,7.033400470390916e-05,,18,0,,,126,area_return1_7,[],12054.326812495525,0,33.53101559824009,0.0,6,,,291.9877600909091,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,13,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,116,3211.865361,,,True,0.02148441696772352
4,0,True,0,0,0,0,0,uniform__iid__108,uniform__iid,5,11,11,139,1.0,,,0.026429999999999954,11,6,6,True,,,0,6.77499920129776e-05,,18,0,,,126,expanded_area_return1_7,[],12085.070211426786,0,34.6959283372446,0.0,5,,,292.5467310909091,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,13,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,116,3218.014042,,,True,0.02642987499712035
19,0,True,,,,,,uniform__iid__109,uniform__iid,12,12,12,145,,,,0.14976299999999998,12,,,,,,0,5.916703958064318e-05,,,,,,131,peer_layout9_proxy,[],19969.236783578537,0,,0.0,,,,402.4039465,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,120,4828.847358,,,,0.14990162500180304
9,0,True,0,0,0,0,0,uniform__iid__109,uniform__iid,6,14,12,151,,,,0.02500200000000008,12,6,8,,,,0,6.512500112876296e-05,,19,0,,,135,clearance7,[],11181.307760174757,0,42.81247319854389,0.0,6,,,258.35512925,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,27,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,123,3100.261551,,,,0.025018541025929153
