Q4 5/93, 90 executions, 3.6s
Q4 10/93, 180 executions, 7.1s
Q4 15/93, 270 executions, 10.9s
Q4 20/93, 360 executions, 14.5s
Q4 25/93, 450 executions, 18.0s
Q4 30/93, 540 executions, 21.3s
Q4 35/93, 630 executions, 24.6s
Q4 40/93, 720 executions, 27.9s
Q4 45/93, 810 executions, 31.3s
Q4 50/93, 900 executions, 34.5s
Q4 55/93, 990 executions, 38.0s
Q4 60/93, 1080 executions, 41.6s
Q4 65/93, 1170 executions, 45.3s
Q4 70/93, 1260 executions, 49.0s
Q4 75/93, 1350 executions, 52.4s
Q4 76/93, 1368 executions, 52.9s
Q4 77/93, 1386 executions, 53.4s
Q4 78/93, 1404 executions, 53.9s
Q4 79/93, 1422 executions, 54.5s
Q4 80/93, 1440 executions, 55.2s
Q4 81/93, 1458 executions, 55.8s
Q4 82/93, 1476 executions, 56.3s
Q4 83/93, 1494 executions, 56.9s
Q4 84/93, 1512 executions, 57.4s
Q4 85/93, 1530 executions, 58.1s
Q4 86/93, 1548 executions, 58.8s
Q4 87/93, 1566 executions, 59.5s
Q4 88/93, 1584 executions, 60.1s
Q4 89/93, 1602 executions, 60.6s
Q4 90/93, 1620 executions, 61.2s
Q4 91/93, 1638 executions, 61.9s
Q4 92/93, 1656 executions, 62.6s
Q4 93/93, 1674 executions, 63.2s
Completed 1674 executions
