"elapsed_s","root_pid","session_id","root_working_set_bytes","tree_working_set_bytes","tree_private_bytes","webview_count","listener_count"
"0.103",,,,,,"0","0"
"0.683",,,,,,"0","0"
"1.283",,,,,,"0","0"
"1.875",,,,,,"0","0"
"2.458","7884","2","38494208","38494208","72622080","0","2"
"3.072","7884","2","57815040","99086336","106053632","2","2"
"3.628","7884","2","92385280","134705152","106455040","2","2"
"4.198","7884","2","92319744","134619136","106385408","2","2"
"4.773","7884","2","92319744","134619136","106385408","2","2"
"5.316","7884","2","92319744","155684864","121401344","2","2"
"5.898","7884","2","92319744","196714496","150249472","2","2"
"6.441","7884","2","92295168","224186368","168087552","2","2"
"6.983","7884","2","92295168","342982656","262443008","5","2"
"7.554","7884","2","92688384","436772864","322686976","5","2"
"8.098","7884","2","96088064","525606912","391184384","6","2"
"8.632","7884","2","103231488","663289856","460193792","6","2"
"9.192","7884","2","104988672","703901696","491593728","6","2"
"9.731","7884","2","107372544","722747392","517746688","6","2"
"10.279","7884","2","107597824","751738880","540835840","6","2"
"10.825","7884","2","107597824","752279552","540549120","6","2"
"11.377","7884","2","107597824","745951232","540454912","6","2"
"11.916","7884","2","107597824","745971712","540463104","6","2"
"12.459","7884","2","107597824","751480832","544960512","6","2"
"13.027","7884","2","107597824","763170816","552304640","6","2"
"13.578","7884","2","107597824","761286656","550305792","6","2"
"14.117","7884","2","107606016","761524224","550350848","6","2"
"14.672","7884","2","107606016","761524224","550350848","6","2"
"15.238","7884","2","107606016","761012224","549584896","6","2"
"15.891","7884","2","107606016","760766464","549257216","6","2"
"16.45","7884","2","107606016","760872960","549347328","6","2"
"17.001","7884","2","107606016","760885248","549359616","6","2"
"17.569","7884","2","107581440","760799232","549228544","6","2"
"18.15","7884","2","107581440","760807424","549228544","6","2"
"18.721","7884","2","107577344","760799232","549224448","6","2"
"19.309","7884","2","107577344","759316480","547364864","6","2"
"19.892","7884","2","107577344","759316480","547364864","6","2"
"20.464","7884","2","107577344","759324672","547364864","6","2"
"21","7884","2","107577344","759324672","547364864","6","2"
"21.608","7884","2","107577344","759189504","547229696","6","2"
"22.218","7884","2","107577344","759193600","547229696","6","2"
"22.803","7884","2","107597824","759234560","547282944","6","2"
"23.371","7884","2","107597824","759123968","547057664","6","2"
"23.934","7884","2","107601920","759128064","547057664","6","2"
"24.495","7884","2","107601920","759296000","547082240","6","2"
"25.121","7884","2","107601920","759296000","547082240","6","2"
"25.714","7884","2","107601920","759271424","547057664","6","2"
"26.312","7884","2","107601920","759271424","547057664","6","2"
"26.92","7884","2","107577344","759246848","547004416","6","2"
"27.529","7884","2","107577344","759328768","547127296","6","2"
"28.156","7884","2","107577344","759324672","547123200","6","2"
"28.774","7884","2","107577344","759332864","547123200","6","2"
"29.353","7884","2","107577344","759332864","547123200","6","2"
"29.973","7884","2","107577344","759357440","547180544","6","2"
"30.533","7884","2","107577344","759361536","547180544","6","2"
"31.121","7884","2","107577344","759377920","547229696","6","2"
"31.686","7884","2","107577344","759324672","547119104","6","2"
"32.256","7884","2","107577344","759328768","547119104","6","2"
"32.802","7884","2","107569152","761233408","548282368","6","2"
"33.39","7884","2","107569152","772612096","551911424","6","2"
"34.006","7884","2","107569152","772534272","551809024","6","2"
"34.642","7884","2","107569152","772534272","551809024","6","2"
"35.243","7884","2","107569152","772509696","551755776","6","2"
"35.842","7884","2","107569152","772653056","551825408","6","2"
"36.478","7884","2","107569152","772665344","551829504","6","2"
"37.041","7884","2","107569152","773701632","552796160","6","2"
"37.657","7884","2","107569152","773386240","552431616","6","2"
"38.214","7884","2","107569152","772960256","551915520","6","2"
"38.855","7884","2","107569152","772960256","551915520","6","2"
"39.457","7884","2","107569152","777572352","556523520","6","2"
"40.073","7884","2","107569152","777572352","556523520","6","2"
"40.694","7884","2","107569152","777302016","556179456","6","2"
