"elapsed_s","root_pid","session_id","root_working_set_bytes","tree_working_set_bytes","tree_private_bytes","webview_count","listener_count"
"0.077","10760","2","6021120","6021120","41164800","0","2"
"0.633","10760","2","38248448","318668800","221024256","6","2"
"1.173","10760","2","52527104","611201024","348463104","7","2"
"1.748","10760","2","52527104","611581952","348942336","7","2"
"2.314","10760","2","52527104","600932352","348954624","7","2"
"2.854","10760","2","52527104","603127808","349798400","7","2"
"3.413","10760","2","52527104","613310464","354705408","7","2"
"3.967","10760","2","52527104","613117952","354541568","7","2"
"4.543","10760","2","52502528","612954112","354291712","7","2"
"5.122","10760","2","52502528","612929536","354238464","7","2"
"5.683","10760","2","52502528","613302272","354672640","7","2"
"6.244","10760","2","52502528","613347328","354635776","7","2"
"6.799","10760","2","52502528","613289984","354521088","7","2"
"7.368","10760","2","52502528","613261312","354463744","7","2"
"7.93","10760","2","52502528","613261312","354463744","7","2"
"8.498","10760","2","52502528","611020800","352157696","7","2"
"9.082","10760","2","52502528","611041280","352010240","7","2"
"9.632","10760","2","52502528","611041280","352010240","7","2"
"10.221","10760","2","52502528","610975744","351944704","7","2"
"10.806","10760","2","52502528","611213312","352145408","7","2"
"11.384","10760","2","52502528","609722368","350310400","7","2"
"11.982","10760","2","52502528","609701888","350285824","7","2"
"12.554","10760","2","52502528","609701888","350285824","7","2"
"13.11","10760","2","52502528","609484800","350072832","7","2"
"13.725","10760","2","52502528","609484800","350072832","7","2"
"14.279","10760","2","52502528","609484800","350072832","7","2"
"14.878","10760","2","52502528","609456128","350015488","7","2"
"15.458","10760","2","52502528","609456128","350015488","7","2"
"16.087","10760","2","52531200","609587200","350142464","7","2"
"16.639","10760","2","52531200","609587200","350142464","7","2"
"17.18","10760","2","52535296","609595392","350142464","7","2"
"17.738","10760","2","52535296","609595392","350142464","7","2"
"18.291","10760","2","52535296","609632256","350150656","7","2"
"18.836","10760","2","52535296","609632256","350150656","7","2"
"19.458","10760","2","52535296","609632256","350150656","7","2"
"20.036","10760","2","52506624","609730560","350072832","7","2"
"20.636","10760","2","52531200","609726464","350101504","7","2"
"21.2","10760","2","52535296","609742848","350101504","7","2"
"21.789","10760","2","52535296","609742848","350101504","7","2"
"22.392","10760","2","52535296","609742848","350101504","7","2"
"22.979","10760","2","52535296","609853440","350179328","7","2"
"23.57","10760","2","52535296","609853440","350179328","7","2"
"24.204","10760","2","52535296","609849344","350171136","7","2"
"24.776","10760","2","52506624","609820672","350113792","7","2"
"25.405","10760","2","52506624","609820672","350113792","7","2"
"25.971","10760","2","52506624","609820672","350113792","7","2"
"26.623","10760","2","52506624","609820672","350113792","7","2"
"27.255","10760","2","52506624","609792000","350056448","7","2"
"27.835","10760","2","52506624","609792000","350056448","7","2"
"28.458","10760","2","52506624","609792000","350056448","7","2"
"29.003","10760","2","52506624","609792000","350056448","7","2"
"29.581","10760","2","52506624","609792000","350056448","7","2"
"30.126","10760","2","52183040","609468416","349700096","7","2"
"30.687","10760","2","52109312","633049088","354672640","7","2"
"31.265","10760","2","52109312","634793984","354840576","7","2"
"31.836","10760","2","52109312","634773504","354779136","7","2"
"32.432","10760","2","52109312","634777600","354779136","7","2"
