"elapsed_s","root_pid","session_id","root_working_set_bytes","tree_working_set_bytes","tree_private_bytes","webview_count","listener_count"
"0.078","4320","2","6742016","6742016","41164800","0","2"
"0.625","4320","2","52711424","422563840","203747328","6","2"
"1.171","4320","2","52723712","422559744","203616256","6","2"
"1.726","4320","2","52723712","412614656","203276288","6","2"
"2.287","4320","2","52723712","412635136","203276288","6","2"
"2.852","4320","2","52723712","423489536","205996032","6","2"
"3.427","4320","2","52723712","423432192","205979648","6","2"
"3.986","4320","2","52723712","423227392","205762560","6","2"
"4.557","4320","2","52695040","423198720","205705216","6","2"
"5.138","4320","2","52695040","423198720","205705216","6","2"
"5.722","4320","2","52695040","423309312","205778944","6","2"
"6.284","4320","2","52695040","423309312","205778944","6","2"
"6.847","4320","2","52695040","423309312","205778944","6","2"
"7.411","4320","2","52695040","423309312","205778944","6","2"
"7.98","4320","2","52695040","423309312","205778944","6","2"
"8.542","4320","2","52695040","420249600","202481664","6","2"
"9.095","4320","2","52695040","420249600","202481664","6","2"
"9.692","4320","2","52695040","420188160","202420224","6","2"
"10.293","4320","2","52695040","420323328","202530816","6","2"
"10.834","4320","2","52731904","419127296","200749056","6","2"
"11.384","4320","2","52731904","419127296","200749056","6","2"
"11.951","4320","2","52736000","419131392","200749056","6","2"
"12.487","4320","2","52736000","418975744","200613888","6","2"
"13.062","4320","2","52736000","418975744","200613888","6","2"
"13.659","4320","2","52736000","418975744","200613888","6","2"
"14.287","4320","2","52736000","418975744","200613888","6","2"
"14.856","4320","2","52736000","418975744","200613888","6","2"
"15.431","4320","2","52711424","418979840","200564736","6","2"
"16.116","4320","2","52711424","418979840","200564736","6","2"
"16.699","4320","2","52711424","418979840","200564736","6","2"
"17.297","4320","2","52711424","418979840","200564736","6","2"
"17.896","4320","2","52711424","419000320","200564736","6","2"
"18.481","4320","2","52711424","419000320","200564736","6","2"
"19.084","4320","2","52711424","419000320","200564736","6","2"
"19.627","4320","2","52711424","419155968","200568832","6","2"
"20.246","4320","2","52711424","419155968","200568832","6","2"
"20.853","4320","2","52711424","419160064","200568832","6","2"
"21.442","4320","2","52711424","419160064","200568832","6","2"
"22.026","4320","2","52711424","419160064","200568832","6","2"
"22.595","4320","2","52711424","419291136","200577024","6","2"
"23.217","4320","2","52711424","419291136","200577024","6","2"
"23.763","4320","2","52711424","419287040","200572928","6","2"
"24.333","4320","2","52711424","419287040","200572928","6","2"
"24.884","4320","2","52711424","419287040","200572928","6","2"
"25.432","4320","2","52711424","419287040","200572928","6","2"
"26.035","4320","2","52711424","419287040","200572928","6","2"
"26.617","4320","2","52711424","419287040","200572928","6","2"
"27.173","4320","2","52711424","419287040","200572928","6","2"
"27.769","4320","2","52711424","419287040","200572928","6","2"
"28.347","4320","2","52711424","419287040","200572928","6","2"
"28.934","4320","2","52711424","419287040","200572928","6","2"
"29.519","4320","2","52711424","419287040","200572928","6","2"
