problem,variant,baseline,reference_sources,reference_directional_sources,delta_seconds_per_source,ci_low,ci_high,p_hc3,model,baseline_adjusted_seconds_per_source,p_holm_14
3,no_share__g50,full__g50,12.7125,0.0,1.4891898106364887,-15.256252671701514,18.234632292974492,0.8597592134374124,total_s ~ variant + source_count,254.51262672618333,1.0
3,scan_then_service__g50,full__g50,12.7125,0.0,52.88128708641098,35.38361120597934,70.37896296684262,6.769366025338899e-08,total_s ~ variant + source_count,254.51262672618333,9.477112435474458e-07
3,no_negative__g50,full__g50,12.7125,0.0,-4.7343303370475915,-18.126123755193856,8.65746308109867,0.4831733556260861,total_s ~ variant + source_count,254.51262672618333,1.0
3,online_nearest__g50,full__g50,12.7125,0.0,-1.8728611434415996,-22.361307066165914,18.615584779282717,0.8558921695516308,total_s ~ variant + source_count,254.51262672618333,1.0
3,nearest_sensing__g50,full__g50,12.7125,0.0,34.56029460047764,16.469947190965538,52.65064200998974,0.00029340725998703996,total_s ~ variant + source_count,254.51262672618333,0.0035208871198444793
3,full__g20,full__g50,12.7125,0.0,-5.173434401753146,-21.284538730877266,10.937669927370973,0.5240548963037125,total_s ~ variant + source_count,254.51262672618333,1.0
3,full__g80,full__g50,12.7125,0.0,-10.778100333305408,-27.836342179626737,6.280141513015921,0.2118469475127363,total_s ~ variant + source_count,254.51262672618333,1.0
4,no_share__g35,full__g35,13.0375,6.7125,-0.1554985954735998,-18.358826450146598,18.047829259199396,0.9864554749988677,total_s ~ variant + source_count + directional_count,471.69584089174555,1.0
4,scan_then_service__g35,full__g35,13.0375,6.7125,47.672398947480545,25.29979712194237,70.04500077301871,6.485755285217378e-05,total_s ~ variant + source_count + directional_count,471.69584089174555,0.0008431481870782592
4,no_negative__g35,full__g35,13.0375,6.7125,-5.004401656789674,-24.871661742903168,14.86285842932382,0.6169752635549668,total_s ~ variant + source_count + directional_count,471.69584089174555,1.0
4,online_nearest__g35,full__g35,13.0375,6.7125,6.886205845706618,-15.36985981148552,29.14227150289876,0.5391742432583253,total_s ~ variant + source_count + directional_count,471.69584089174555,1.0
4,full__g20,full__g35,13.0375,6.7125,3.4665191621390052,-17.989148900154365,24.922187224432378,0.7482355293795271,total_s ~ variant + source_count + directional_count,471.69584089174555,1.0
4,full__g40,full__g35,13.0375,6.7125,-5.192663403967112,-29.95335723016844,19.568030422234216,0.6770364732856918,total_s ~ variant + source_count + directional_count,471.69584089174555,1.0
4,full__g80,full__g35,13.0375,6.7125,-2.2459088405391925,-25.750526152603246,21.258708471524862,0.8494124791556495,total_s ~ variant + source_count + directional_count,471.69584089174555,1.0
