problem,setting,parameter,value,delta_s_per_source,relative_pct,ci_low,ci_high,p_randomization,all_clear,p_holm_48
3,trial_radius=20,trial_radius,20,5.482861418032826,2.1104592528865096,-23.666769285183726,34.017031132485386,0.744140625,True,1.0
3,trial_radius=35,trial_radius,35,9.472639145845108,3.6462017567783667,-23.903128521763048,37.678566141359155,0.57421875,True,1.0
3,trial_radius=65,trial_radius,65,-21.033102438719737,-8.096047350879786,-56.85082528146064,12.701405630897549,0.30078125,True,1.0
3,trial_radius=80,trial_radius,80,-19.024181510511795,-7.322774886376216,-42.14428445732818,2.5310151699348133,0.14453125,True,1.0
3,share_limit=0,share_limit,0,-5.307333776365027,-2.04289527356053,-37.01021757513146,30.606631743917657,0.7734375,True,1.0
3,share_limit=2,share_limit,2,-28.09293215908815,-10.813512160067019,-56.03532111106606,1.3426363543312017,0.1171875,True,1.0
3,share_limit=12,share_limit,12,-17.93722895400046,-6.90438585454819,-36.92128736991663,1.5417563307189224,0.125,True,1.0
3,share_limit=20,share_limit,20,-1.5519232427490692,-0.5973652291588527,-37.27085671410571,34.41928967634755,0.93359375,True,1.0
3,max_active=1,max_active,1,-22.345053569672103,-8.601042679513638,-55.96449235703714,10.586176782271982,0.25390625,True,1.0
3,max_active=2,max_active,2,-16.279829591672126,-6.266420829853292,-45.85701020231312,10.84630352291694,0.345703125,True,1.0
3,max_active=4,max_active,4,-5.105914514984619,-1.9653651097501168,-43.860630986229836,35.6759888109856,0.814453125,True,1.0
3,max_active=5,max_active,5,-12.421334936859608,-4.781211716290867,-52.49730446131513,30.76317740862446,0.578125,True,1.0
3,localization_weight=0,localization_weight,0,-7.312655184751463,-2.814782213365574,-41.14990022110885,29.489052661647236,0.703125,True,1.0
3,localization_weight=0.02,localization_weight,0.02,-6.042752327608639,-2.3259720774191472,-34.983235811792724,23.139328131580054,0.69140625,True,1.0
3,localization_weight=0.32,localization_weight,0.32,-13.105634819672105,-5.044611957391421,-47.347852777698314,22.947789332318298,0.51953125,True,1.0
3,localization_weight=1.28,localization_weight,1.28,-15.658329999359609,-6.027193633457772,-44.070201045551755,12.175845525203309,0.30859375,True,1.0
3,remainder_weight=0,remainder_weight,0,-9.587931521285014,-3.6905800187811644,-31.391435546470312,11.728423108901072,0.404296875,True,1.0
3,remainder_weight=0.5,remainder_weight,0.5,5.175254973431322,1.9920555914112015,-22.287856606096536,31.93204561292942,0.732421875,True,1.0
3,remainder_weight=1,remainder_weight,1,-10.727926655609622,-4.129386163245807,-44.18567656870347,18.94999228390361,0.53515625,True,1.0
3,remainder_weight=2,remainder_weight,2,-18.67147990881938,-7.187013227992612,-42.65441835435488,6.376285422370606,0.181640625,True,1.0
4,trial_radius=20,trial_radius,20,64.83594501047025,14.830745539340917,-27.821444886284098,140.06518510961484,0.208984375,True,1.0
4,trial_radius=50,trial_radius,50,59.00438897544791,13.496819988632014,-55.442627225104474,171.22716550381062,0.345703125,True,1.0
4,trial_radius=65,trial_radius,65,57.15742052236868,13.07433953982564,-17.813163406527202,124.9937391917365,0.173828125,True,1.0
4,trial_radius=80,trial_radius,80,19.186696558252663,4.3888157155732355,-76.31607952146717,106.29090428274911,0.708984375,True,1.0
4,share_limit=0,share_limit,0,8.766835751824829,2.005349196337214,-81.46827444408616,80.30439365400981,0.861328125,True,1.0
4,share_limit=2,share_limit,2,-9.322108061177346,-2.1323636529587686,-106.74766637547947,74.78877032279468,0.849609375,True,1.0
4,share_limit=12,share_limit,12,1.2023739527206203,0.27503419797538786,-77.4019212966348,78.95124017948535,0.974609375,True,1.0
4,share_limit=20,share_limit,20,27.454387395461993,6.279989184006385,-54.865662363018956,93.68217112049473,0.517578125,True,1.0
4,share_cooldown=0,share_cooldown,0,35.357351097381525,8.087734002885604,-45.08516968633797,106.70842894573511,0.408203125,True,1.0
4,share_cooldown=50,share_cooldown,50,56.04088379148226,12.818939974994281,-0.6913901837688732,114.86862041721211,0.115234375,True,1.0
4,share_cooldown=400,share_cooldown,400,38.48142107260264,8.802342031535737,-44.31055087056294,125.32755045637705,0.408203125,True,1.0
4,share_cooldown=800,share_cooldown,800,51.59691440690534,11.802414664587557,-44.61591050447908,142.53588689638804,0.330078125,True,1.0
4,transverse_m=10,transverse_m,10,19.188115479518444,4.389140283376314,-54.75549422164603,93.77480661360613,0.634765625,True,1.0
4,transverse_m=20,transverse_m,20,68.9460294578526,15.770897126157246,-8.037727013135338,136.79398224896633,0.12109375,True,1.0
4,transverse_m=70,transverse_m,70,4.822612467872148,1.1031371307122173,-68.60565335606054,86.28832843072081,0.904296875,True,1.0
4,transverse_m=100,transverse_m,100,49.347813811667265,11.287949446027557,4.731792641932953,99.42580847998705,0.076171875,True,1.0
4,fraction=0.05,fraction,0.05,76.55183606118334,17.510669444386306,3.446077920682314,147.0301180193463,0.095703125,True,1.0
4,fraction=0.1,fraction,0.1,29.09325534048287,6.654868172216721,-40.76999775365014,89.93935613062656,0.435546875,True,1.0
4,fraction=0.3,fraction,0.3,-12.468694547445239,-2.852122167897231,-89.63763746232992,69.43599432417582,0.76953125,True,1.0
4,fraction=0.5,fraction,0.5,9.453848703399046,2.1624983558872657,-48.51721545697358,74.50540130467455,0.787109375,True,1.0
4,steps=1,steps,1,64.83620704182596,14.83080547708624,-20.44773143707762,138.47503797292643,0.162109375,True,1.0
4,steps=2,steps,2,38.206014470397406,8.739344796953885,-51.27552013785287,123.06825774227565,0.447265625,True,1.0
4,steps=3,steps,3,14.695522655582579,3.3614927188516885,-56.38093043259217,74.67446789854317,0.66796875,True,1.0
4,steps=4,steps,4,52.938383520175194,12.10926585746488,-8.897077569458792,106.71462981332654,0.150390625,True,1.0
4,pause_limit=0,pause_limit,0,64.25115577236869,14.69697930237115,6.530800298995542,116.28484251197332,0.0859375,True,1.0
4,pause_limit=4,pause_limit,4,37.0975814315085,8.485798892062624,-77.71977983694175,142.9757170153639,0.52734375,True,1.0
