phase,problem,setting,runs,sources,active_measurements,shared_known_measurements,shared_negative_cooldown_skips,source_interruptions,forced_continuations,packet_fallbacks,optical_fallback_calls,early_optical_trials,early_optical_success,bracket_optical_trials,bracket_optical_success,bracket_pair_cuts,sources_at_round_budget,maximum_source_rounds
calibration,3,baseline,1,13,8,22,,,,,0,5,5,0,0,0,,
calibration,4,baseline,1,11,10,11,6,1,0,0,0,0,0,1,1,0,0,3
robustness,3,baseline,40,547,227,824,,,,,0,271,256,0,0,0,,
robustness,3,perturbed,80,1061,550,1618,,,,,0,501,466,0,0,0,,
robustness,4,baseline,40,534,396,667,212,86,0,0,0,0,0,147,141,1,0,3
robustness,4,perturbed,80,1004,927,1222,514,209,0,27,0,0,0,243,234,20,27,4
screen,3,baseline,10,122,58,172,,,,,0,70,63,0,0,0,,
screen,3,localization_weight=0,10,126,62,175,,,,,0,53,51,0,0,0,,
screen,3,localization_weight=0.02,10,126,57,177,,,,,0,53,52,0,0,0,,
screen,3,localization_weight=0.32,10,128,55,187,,,,,0,59,58,0,0,0,,
screen,3,localization_weight=1.28,10,128,67,206,,,,,0,65,59,0,0,0,,
screen,3,max_active=1,10,136,50,182,,,,,35,50,49,0,0,0,,
screen,3,max_active=2,10,125,57,186,,,,,0,53,50,0,0,0,,
screen,3,max_active=4,10,128,61,190,,,,,0,68,65,0,0,0,,
screen,3,max_active=5,10,128,58,199,,,,,0,63,59,0,0,0,,
screen,3,remainder_weight=0,10,124,53,144,,,,,0,63,61,0,0,0,,
screen,3,remainder_weight=0.5,10,116,51,138,,,,,0,52,51,0,0,0,,
screen,3,remainder_weight=1,10,128,61,195,,,,,0,63,59,0,0,0,,
screen,3,remainder_weight=2,10,129,60,204,,,,,0,64,59,0,0,0,,
screen,3,share_limit=0,10,127,85,0,,,,,0,82,81,0,0,0,,
screen,3,share_limit=12,10,134,70,187,,,,,0,65,61,0,0,0,,
screen,3,share_limit=2,10,137,60,192,,,,,0,67,62,0,0,0,,
screen,3,share_limit=20,10,117,52,129,,,,,0,61,60,0,0,0,,
screen,3,trial_radius=20,10,122,118,211,,,,,0,0,0,0,0,0,,
screen,3,trial_radius=35,10,116,58,166,,,,,0,53,52,0,0,0,,
screen,3,trial_radius=65,10,126,45,181,,,,,0,63,60,0,0,0,,
screen,3,trial_radius=80,10,131,43,192,,,,,0,76,73,0,0,0,,
screen,4,baseline,10,137,103,177,50,17,0,0,0,0,0,38,36,1,0,3
screen,4,fraction=0.05,10,123,134,135,84,50,0,0,0,0,0,40,39,0,0,3
screen,4,fraction=0.1,10,130,104,160,52,32,0,0,0,0,0,38,38,1,0,4
screen,4,fraction=0.3,10,137,95,207,34,20,0,0,0,0,0,46,46,3,0,3
screen,4,fraction=0.5,10,134,99,186,57,16,0,0,0,0,0,37,36,16,0,5
screen,4,pause_limit=0,10,124,107,131,20,0,94,0,0,0,0,41,41,0,0,4
screen,4,pause_limit=24,10,130,105,154,61,40,0,0,0,0,0,41,41,0,0,3
screen,4,pause_limit=4,10,120,76,142,43,22,0,0,0,0,0,29,29,0,0,3
screen,4,pause_limit=8,10,141,123,199,51,31,0,0,0,0,0,44,44,2,0,3
screen,4,share_cooldown=0,10,126,95,164,0,22,0,0,0,0,0,30,30,1,0,3
screen,4,share_cooldown=400,10,131,110,140,174,37,0,0,0,0,0,27,26,0,0,3
screen,4,share_cooldown=50,10,127,131,245,19,21,0,0,0,0,0,35,32,2,0,3
screen,4,share_cooldown=800,10,126,126,91,323,30,0,0,0,0,0,45,44,2,0,3
screen,4,share_limit=0,10,137,134,0,44,36,0,0,0,0,0,46,45,1,0,3
screen,4,share_limit=12,10,132,96,166,47,26,0,0,0,0,0,31,31,0,0,4
screen,4,share_limit=2,10,139,105,148,52,26,0,0,0,0,0,44,42,2,0,3
screen,4,share_limit=20,10,129,103,147,64,27,0,0,0,0,0,36,33,2,0,3
screen,4,steps=1,10,126,41,147,25,0,0,39,401,0,0,32,32,0,39,1
screen,4,steps=2,10,126,67,155,45,19,0,17,1,0,0,36,36,2,17,2
screen,4,steps=3,10,135,105,171,50,21,0,6,0,0,0,39,39,1,6,3
screen,4,steps=4,10,125,104,125,28,16,0,0,0,0,0,47,46,0,0,3
screen,4,transverse_m=10,10,134,154,174,37,32,0,0,0,0,0,41,38,4,0,5
screen,4,transverse_m=100,10,126,83,154,17,18,0,0,0,0,0,38,38,0,0,2
screen,4,transverse_m=20,10,124,126,129,56,27,0,0,0,0,0,40,39,3,0,4
screen,4,transverse_m=70,10,132,87,153,64,21,0,0,0,0,0,47,46,1,0,3
screen,4,trial_radius=20,10,122,122,131,41,21,0,0,0,0,0,0,0,0,0,3
screen,4,trial_radius=50,10,121,104,146,37,22,0,0,0,0,0,53,52,1,0,3
screen,4,trial_radius=65,10,124,94,154,23,19,0,0,0,0,0,49,45,2,0,3
screen,4,trial_radius=80,10,129,84,154,37,29,0,0,0,0,0,45,38,0,0,3
