phase,problem,setting,runs,sources,active_measurements,shared_known_measurements,shared_negative_cooldown_skips,source_interruptions,forced_continuations,packet_fallbacks,optical_fallback_calls,early_optical_trials,early_optical_success,bracket_optical_trials,bracket_optical_success,bracket_pair_cuts,sources_at_round_budget,maximum_source_rounds
calibration,3,baseline,1,13,8,22,,,,,0,5,5,0,0,0,,
calibration,4,baseline,1,11,10,11,6,1,0,0,0,0,0,1,1,0,0,3
screen,3,baseline,1,13,2,31,,,,,0,11,11,0,0,0,,
screen,3,localization_weight=0,1,12,3,16,,,,,0,7,7,0,0,0,,
screen,3,localization_weight=0.02,1,11,5,22,,,,,0,3,3,0,0,0,,
screen,3,localization_weight=0.32,2,24,10,29,,,,,0,7,7,0,0,0,,
screen,3,localization_weight=1.28,1,14,6,18,,,,,0,9,9,0,0,0,,
screen,3,max_active=1,1,13,4,23,,,,,0,5,5,0,0,0,,
screen,3,max_active=2,1,11,3,22,,,,,0,6,6,0,0,0,,
screen,3,max_active=4,2,26,10,37,,,,,0,14,14,0,0,0,,
screen,3,max_active=5,1,10,6,9,,,,,0,5,5,0,0,0,,
screen,3,remainder_weight=0,2,23,8,23,,,,,0,13,13,0,0,0,,
screen,3,remainder_weight=0.5,2,27,10,30,,,,,0,14,14,0,0,0,,
screen,3,remainder_weight=1,2,22,10,44,,,,,0,11,11,0,0,0,,
screen,3,remainder_weight=2,2,29,8,51,,,,,0,14,14,0,0,0,,
screen,3,share_limit=0,1,16,8,0,,,,,0,10,10,0,0,0,,
screen,3,share_limit=12,2,25,15,26,,,,,0,11,11,0,0,0,,
screen,3,share_limit=2,1,16,7,23,,,,,0,7,6,0,0,0,,
screen,3,share_limit=20,2,24,11,26,,,,,0,12,12,0,0,0,,
screen,3,trial_radius=20,2,23,24,24,,,,,0,0,0,0,0,0,,
screen,3,trial_radius=35,2,23,11,27,,,,,0,13,13,0,0,0,,
screen,3,trial_radius=65,2,21,6,23,,,,,0,10,10,0,0,0,,
screen,3,trial_radius=80,2,23,7,26,,,,,0,11,11,0,0,0,,
screen,4,baseline,1,16,9,14,1,2,0,0,0,0,0,6,6,0,0,3
screen,4,fraction=0.05,1,11,16,11,4,2,0,0,0,0,0,3,3,0,0,3
screen,4,fraction=0.1,2,28,29,36,13,7,0,0,0,0,0,10,10,1,0,3
screen,4,fraction=0.3,2,32,21,65,12,7,0,0,0,0,0,12,12,1,0,3
screen,4,fraction=0.5,1,16,17,27,4,1,0,0,0,0,0,6,6,3,0,3
screen,4,pause_limit=0,2,24,26,31,2,0,22,0,0,0,0,8,8,0,0,4
screen,4,pause_limit=24,2,29,27,43,26,11,0,0,0,0,0,11,11,0,0,3
screen,4,pause_limit=4,2,25,12,26,7,7,0,0,0,0,0,7,7,0,0,2
screen,4,pause_limit=8,2,26,18,38,5,5,0,0,0,0,0,8,8,1,0,3
screen,4,share_cooldown=0,1,12,11,14,0,3,0,0,0,0,0,3,3,0,0,3
screen,4,share_cooldown=400,1,10,4,10,7,1,0,0,0,0,0,0,0,0,0,2
screen,4,share_cooldown=50,1,12,6,19,0,3,0,0,0,0,0,4,3,0,0,2
screen,4,share_cooldown=800,1,13,17,4,47,4,0,0,0,0,0,4,4,0,0,3
screen,4,share_limit=0,2,28,20,0,4,4,0,0,0,0,0,10,10,0,0,3
screen,4,share_limit=12,2,28,12,34,5,7,0,0,0,0,0,5,5,0,0,2
screen,4,share_limit=2,1,13,8,10,0,5,0,0,0,0,0,2,1,0,0,2
screen,4,share_limit=20,1,14,16,16,4,5,0,0,0,0,0,3,3,1,0,3
screen,4,steps=1,2,28,6,31,5,0,0,6,24,0,0,7,7,0,6,1
screen,4,steps=2,2,25,11,27,10,4,0,3,0,0,0,7,7,0,3,2
screen,4,steps=3,1,15,5,21,6,1,0,0,0,0,0,5,5,0,0,2
screen,4,steps=4,1,12,13,8,4,1,0,0,0,0,0,6,6,0,0,3
screen,4,transverse_m=10,1,14,14,14,0,3,0,0,0,0,0,6,5,1,0,5
screen,4,transverse_m=100,1,12,11,9,2,4,0,0,0,0,0,2,2,0,0,2
screen,4,transverse_m=20,1,12,12,21,7,2,0,0,0,0,0,6,6,0,0,4
screen,4,transverse_m=70,1,16,13,21,10,3,0,0,0,0,0,10,10,0,0,3
screen,4,trial_radius=20,2,26,23,24,6,5,0,0,0,0,0,0,0,0,0,2
screen,4,trial_radius=50,1,11,15,13,1,3,0,0,0,0,0,7,7,0,0,3
screen,4,trial_radius=65,2,24,24,28,2,4,0,0,0,0,0,10,9,1,0,3
screen,4,trial_radius=80,1,12,13,11,1,3,0,0,0,0,0,4,4,0,0,3
