phase,problem,setting,runs,all_cleared,sources,tau,misses,directional_fraction,max_observed_case_seconds,movement_s_per_source,measurement_s_per_source,switch_s_per_source,failed_clear_s_per_source,successful_clear_s_per_source,measurements_per_source,switches_per_source,misses_per_source
calibration,3,baseline,1,1,13,253.43819353846155,0,0.0,3294.696516,191.43819349030582,47.69230769230769,9.307692307692308,0.0,5.0,9.538461538461538,9.307692307692308,0.0
calibration,4,baseline,1,1,11,543.7353626363637,0,0.36363636363636365,5981.088989,394.6444536470361,121.81818181818181,22.272727272727273,0.0,5.0,24.363636363636363,22.272727272727273,0.0
robustness,3,baseline,40,40,547,234.5848565868373,15,0.0,3688.3003,177.99619113566362,43.42778793418647,8.078610603290677,0.08226691042047532,5.0,8.685557586837295,8.078610603290677,0.027422303473491772
robustness,3,perturbed,80,80,1061,243.5017798529689,35,0.0,3778.950641,184.54607770538738,45.424128180961354,8.432610744580584,0.09896324222431668,5.0,9.08482563619227,8.432610744580584,0.03298774740810556
robustness,4,baseline,40,40,534,453.2229259737828,6,0.5056179775280899,7007.987619,332.12180244611153,98.09925093632958,17.96816479400749,0.033707865168539325,5.0,19.619850187265918,17.96816479400749,0.011235955056179775
robustness,4,perturbed,80,80,1004,486.42443542131474,9,0.5876494023904383,7392.053727,351.7341964824579,109.5219123505976,20.141434262948206,0.026892430278884463,5.0,21.904382470119522,20.141434262948206,0.008964143426294821
screen,3,baseline,10,10,122,259.7947063196721,7,0.0,3546.721872,195.76191946323812,49.631147540983605,9.229508196721312,0.1721311475409836,5.0,9.926229508196721,9.229508196721312,0.05737704918032787
screen,3,localization_weight=0,10,10,126,252.48205113492065,2,0.0,3408.91971,191.72808284165177,47.023809523809526,8.682539682539682,0.047619047619047616,5.0,9.404761904761905,8.682539682539682,0.015873015873015872
screen,3,localization_weight=0.02,10,10,126,253.75195399206348,1,0.0,3659.663822,192.50592222818344,47.38095238095238,8.841269841269842,0.023809523809523808,5.0,9.476190476190476,8.841269841269842,0.007936507936507936
screen,3,localization_weight=0.32,10,10,128,246.6890715,1,0.0,3399.033122,188.8843839894248,44.53125,8.25,0.0234375,5.0,8.90625,8.25,0.0078125
screen,3,localization_weight=1.28,10,10,128,244.1363763203125,6,0.0,3380.965325,182.2145013320548,47.890625,8.890625,0.140625,5.0,9.578125,8.890625,0.046875
screen,3,max_active=1,10,10,136,237.44965275,36,0.0,3592.028225,181.23641747685022,42.463235294117645,7.955882352941177,0.7941176470588235,5.0,8.492647058823529,7.955882352941177,0.2647058823529412
screen,3,max_active=2,10,10,125,243.514876728,3,0.0,3258.138505,183.04287668510185,46.76,8.64,0.072,5.0,9.352,8.64,0.024
screen,3,max_active=4,10,10,128,254.6887918046875,3,0.0,3627.762599,192.21222924043465,48.359375,9.046875,0.0703125,5.0,9.671875,9.046875,0.0234375
screen,3,max_active=5,10,10,128,247.3733713828125,4,0.0,3324.56358,184.27962135792038,48.9453125,9.0546875,0.09375,5.0,9.7890625,9.0546875,0.03125
screen,3,remainder_weight=0,10,10,124,250.2067747983871,2,0.0,3543.94669,189.8116135117531,46.653225806451616,8.693548387096774,0.04838709677419355,5.0,9.330645161290322,8.693548387096774,0.016129032258064516
screen,3,remainder_weight=0.5,10,10,116,264.96996129310344,1,0.0,3459.787103,198.19409930345404,51.98275862068966,9.767241379310345,0.02586206896551724,5.0,10.39655172413793,9.767241379310345,0.008620689655172414
screen,3,remainder_weight=1,10,10,128,249.0667796640625,4,0.0,3538.198086,188.71521715757495,46.6015625,8.65625,0.09375,5.0,9.3203125,8.65625,0.03125
screen,3,remainder_weight=2,10,10,129,241.12322641085274,5,0.0,3370.499241,179.92167602698677,47.2093023255814,8.875968992248062,0.11627906976744186,5.0,9.44186046511628,8.875968992248062,0.03875968992248062
screen,3,share_limit=0,10,10,127,254.4873725433071,1,0.0,3525.971555,199.25115208207453,42.08661417322835,8.125984251968504,0.023622047244094488,5.0,8.417322834645669,8.125984251968504,0.007874015748031496
screen,3,share_limit=12,10,10,134,241.85747736567166,4,0.0,3640.602713,184.8574773333243,43.69402985074627,8.216417910447761,0.08955223880597014,5.0,8.738805970149254,8.216417910447761,0.029850746268656716
screen,3,share_limit=2,10,10,137,231.70177416058397,5,0.0,3747.817211,174.84046030015477,43.64963503649635,8.102189781021897,0.10948905109489052,5.0,8.72992700729927,8.102189781021897,0.0364963503649635
screen,3,share_limit=20,10,10,117,258.24278307692305,1,0.0,3300.29704,194.17440699185576,49.7008547008547,9.341880341880342,0.02564102564102564,5.0,9.94017094017094,9.341880341880342,0.008547008547008548
screen,3,trial_radius=20,10,10,122,265.27756773770494,0,0.0,3557.907237,195.86773171869072,54.30327868852459,10.10655737704918,0.0,5.0,10.860655737704919,10.10655737704918,0.0
screen,3,trial_radius=35,10,10,116,269.2673454655172,1,0.0,3579.348899,202.0259661756471,52.37068965517241,9.844827586206897,0.02586206896551724,5.0,10.474137931034482,9.844827586206897,0.008620689655172414
screen,3,trial_radius=65,10,10,126,238.76160388095238,3,0.0,3544.579324,176.2933498911217,48.333333333333336,9.063492063492063,0.07142857142857142,5.0,9.666666666666666,9.063492063492063,0.023809523809523808
screen,3,trial_radius=80,10,10,131,240.77052480916032,3,0.0,3638.563116,181.73235684304518,45.49618320610687,8.473282442748092,0.06870229007633588,5.0,9.099236641221374,8.473282442748092,0.022900763358778626
screen,4,baseline,10,10,137,437.1725267518248,2,0.4306569343065693,7221.742303,322.0338407195627,93.02919708029196,17.065693430656935,0.043795620437956206,5.0,18.605839416058394,17.065693430656935,0.014598540145985401
screen,4,fraction=0.05,10,10,123,513.7243628130082,1,0.7642276422764228,6751.220718,370.96826526649255,116.3821138211382,21.349593495934958,0.024390243902439025,5.0,23.276422764227643,21.349593495934958,0.008130081300813009
screen,4,fraction=0.1,10,10,130,466.2657820923077,0,0.5153846153846153,6598.790994,337.4657821692399,104.61538461538461,19.184615384615384,0.0,5.0,20.923076923076923,19.184615384615384,0.0
screen,4,fraction=0.3,10,10,137,424.7038322043796,0,0.5766423357664233,6618.431287,310.89361326811854,91.82481751824818,16.985401459854014,0.0,5.0,18.364963503649633,16.985401459854014,0.0
screen,4,fraction=0.5,10,10,134,446.62637545522387,1,0.373134328358209,7230.491737,329.4920471834046,94.73880597014926,17.37313432835821,0.022388059701492536,5.0,18.94776119402985,17.37313432835821,0.007462686567164179
screen,4,pause_limit=0,10,10,124,501.4236825241935,0,0.47580645161290325,6789.013384,366.67368260795115,109.63709677419355,20.112903225806452,0.0,5.0,21.927419354838708,20.112903225806452,0.0
screen,4,pause_limit=24,10,10,130,454.4704774923077,0,0.5692307692307692,6592.651935,332.80124671851195,98.61538461538461,18.053846153846155,0.0,5.0,19.723076923076924,18.053846153846155,0.0
screen,4,pause_limit=4,10,10,120,474.2701081833333,0,0.35833333333333334,6261.678441,342.153441553233,107.29166666666667,19.825,0.0,5.0,21.458333333333332,19.825,0.0
screen,4,pause_limit=8,10,10,141,443.26515856737586,0,0.6524822695035462,7119.703009,323.35026499972463,97.09219858156028,17.822695035460992,0.0,5.0,19.418439716312058,17.822695035460992,0.0
screen,4,share_cooldown=0,10,10,126,472.52987784920634,0,0.3968253968253968,6446.984066,340.2124175640227,107.57936507936508,19.738095238095237,0.0,5.0,21.515873015873016,19.738095238095237,0.0
