phase,problem,setting,block,order,case_code,official_row_id,practice_run_no,parameters,sources,omni_sources,directional_sources,completed,cleared,misses,virtual_time_us,total_s,seconds_per_source,distance_m,movement_s,measurements,switches,measurement_s,switch_s,failed_clear_s,successful_clear_s,retries,duplicate_responses,max_action_ledger_error_s,wall_s,round_counters_recorded,sources_at_round_budget,maximum_rounds,end_reason,evidence,shared_known_measurements,shared_negative_cooldown_skips,source_interruptions,optical_fallback_calls,bracket_pair_cuts,active_measurements,certified_clears,omni_negative_cuts,packet_fallbacks,forced_continuations
calibration,3,baseline,0,1,6MTZ-9VDV-UCDM-4SZY,180,4300454636670029243,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",13,13,0,1,13,0,3294696516,3294.696516,253.43819353846155,12443.48257686988,2488.6965153739757,124,121,620,121,0,65,0,0,4.945300489112014e-07,45.9613989579957,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041129-1d0161d5,22,,,0,0,8,8,0,,
calibration,4,baseline,0,2,JKE2-8D32-KCRD-CBSR,181,1018897703817490715,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",11,7,4,1,11,0,5981088989,5981.088989,543.7353626363637,21705.444950586985,4341.088990117397,268,245,1340,245,0,55,0,0,4.746044908188196e-07,58.690155666990904,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041215-0861906d,11,6,1,0,0,10,10,,0,0
screen,4,transverse_m=100,1,3,N8HE-GKDJ-8QA6-8QXN,182,620068758469690960,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 100, ""trial_radius"": 35.0}",12,4,8,1,12,0,6507186350,6507.18635,542.2655291666666,23950.93175017988,4790.186350035976,279,262,1395,262,0,60,0,0,4.853751391920014e-07,58.02420870898641,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041314-ab72ce7a,9,2,4,0,0,11,10,,0,0
screen,3,baseline,1,4,ZNXA-MH62-SHRD-7NK6,183,347467588520520390,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",13,13,0,1,13,0,3089642159,3089.642159,237.66478146153847,11058.2107851383,2211.6421570276602,137,128,685,128,0,65,0,0,4.764407321999897e-07,48.250649624998914,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041412-f2007b45,31,,,0,0,2,2,4,,
screen,4,pause_limit=8,1,5,FJ9E-7XCB-3572-4P6C,184,8228037227586238457,"{""fraction"": 0.15, ""pause_limit"": 8, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,10,3,1,13,0,5937147127,5937.147127,456.7036251538462,21825.735643515192,4365.147128703038,255,232,1275,232,0,65,0,0,4.84145385115653e-07,57.314233709010296,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041500-8fbf3e11,25,2,2,0,1,8,9,,0,0
screen,3,share_limit=0,1,6,5M7U-7MG5-24KV-VK9X,185,4403514450941013086,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 0, ""trial_radius"": 50.0}",16,16,0,1,16,0,3117270716,3117.270716,194.82941975,12431.35358097798,2486.270716195596,92,91,460,91,0,80,0,0,4.701677518426095e-07,45.5928682909871,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041558-b794f8c6,0,,,0,0,8,6,2,,
screen,4,pause_limit=0,1,7,SE33-4YNZ-QW4Z-NSJY,186,7879759204498823333,"{""fraction"": 0.15, ""pause_limit"": 0, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,4,9,1,13,0,6671077892,6671.077892,513.1598378461539,24450.389480902468,4890.077896180494,290,266,1450,266,0,65,0,0,4.927585308678317e-07,59.86501662500086,True,0,4,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041644-19c8235a,14,2,0,0,0,21,10,,0,17
screen,4,share_cooldown=400,1,8,E5A8-MXEX-EU44-WV4G,187,5335978245246662047,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 400, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",10,5,5,1,10,0,6166927878,6166.927878,616.6927878,21934.639398484982,4386.927879696997,292,270,1460,270,0,50,0,0,4.814131386865483e-07,59.30973849998554,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041744-0c51a67b,10,7,1,0,0,4,10,,0,0
screen,4,transverse_m=10,1,9,NX96-FN97-UK8B-GQ8W,188,4351308674863254609,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 10, ""trial_radius"": 35.0}",14,2,12,1,14,1,5727745236,5727.745236,409.1246597142857,20698.72619168568,4139.7452383371365,256,235,1280,235,3,70,0,0,4.967472904127135e-07,57.781088042014744,True,0,5,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041843-c4ca134a,14,0,3,0,1,14,9,,0,0
screen,3,max_active=4,1,10,Q6CH-JWS3-4RMS-22RR,189,2492791577712449432,"{""localization_weight"": 0.08, ""max_active"": 4, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",11,11,0,1,11,0,2999094626,2999.094626,272.644966,11395.473125489427,2279.0946250978855,112,105,560,105,0,55,0,0,4.7199969799294195e-07,31.99773645802634,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-041941-f082539a,15,,,0,0,5,5,0,,
