"elapsed_s","root_pid","session_id","root_working_set_bytes","tree_working_set_bytes","tree_private_bytes","webview_count","listener_count"
"0.111","2560","2","8278016","8278016","42897408","0","2"
"0.701","2560","2","37941248","186318848","148758528","5","2"
"1.307","2560","2","41721856","317444096","217554944","7","2"
"1.872","2560","2","45867008","454221824","294494208","7","2"
"2.421","2560","2","52330496","601317376","348073984","7","2"
"3.001","2560","2","52330496","601079808","347791360","7","2"
"3.572","2560","2","52330496","592424960","347717632","7","2"
"4.13","2560","2","52330496","592125952","347348992","7","2"
"4.698","2560","2","52330496","592101376","347234304","7","2"
"5.238","2560","2","52338688","604327936","353009664","7","2"
"5.78","2560","2","52338688","604327936","353009664","7","2"
"6.345","2560","2","52338688","604127232","352759808","7","2"
"6.894","2560","2","52338688","604475392","353169408","7","2"
"7.425","2560","2","52338688","604569600","353185792","7","2"
"7.979","2560","2","52338688","604573696","353189888","7","2"
"8.52","2560","2","52338688","604545024","353132544","7","2"
"9.14","2560","2","52338688","602550272","350994432","7","2"
"9.737","2560","2","52314112","602525696","350941184","7","2"
"10.313","2560","2","52314112","602583040","350785536","7","2"
"10.856","2560","2","52314112","602685440","350908416","7","2"
"11.404","2560","2","52314112","602685440","350908416","7","2"
"12.009","2560","2","52314112","601395200","349155328","7","2"
"12.598","2560","2","52314112","601227264","348999680","7","2"
"13.157","2560","2","52314112","601219072","348991488","7","2"
"13.725","2560","2","52314112","601219072","348991488","7","2"
"14.352","2560","2","52314112","601169920","348942336","7","2"
"14.991","2560","2","52314112","601145344","348889088","7","2"
"15.603","2560","2","52314112","601145344","348889088","7","2"
"16.33","2560","2","52314112","601153536","348889088","7","2"
"16.945","2560","2","52314112","601153536","348889088","7","2"
"17.554","2560","2","52314112","601153536","348889088","7","2"
"18.136","2560","2","52314112","601153536","348889088","7","2"
"18.707","2560","2","52314112","601153536","348889088","7","2"
"19.302","2560","2","52314112","601153536","348889088","7","2"
"19.863","2560","2","52314112","601272320","348893184","7","2"
"20.476","2560","2","52314112","601329664","348954624","7","2"
"21.116","2560","2","52314112","601329664","348950528","7","2"
"21.747","2560","2","52314112","601329664","348950528","7","2"
"22.308","2560","2","52314112","601354240","348958720","7","2"
"22.924","2560","2","52314112","601354240","348958720","7","2"
"23.484","2560","2","52314112","601350144","348954624","7","2"
"24.072","2560","2","52314112","601350144","348954624","7","2"
"24.613","2560","2","52314112","601321472","348897280","7","2"
"25.197","2560","2","52314112","601407488","348950528","7","2"
"25.792","2560","2","52314112","601407488","348950528","7","2"
"26.392","2560","2","52314112","601411584","348950528","7","2"
"27.012","2560","2","52314112","601411584","348950528","7","2"
"27.628","2560","2","52314112","601411584","348950528","7","2"
"28.237","2560","2","52314112","601411584","348950528","7","2"
"28.839","2560","2","52314112","601411584","348950528","7","2"
"29.411","2560","2","52314112","601387008","348897280","7","2"
"29.982","2560","2","52314112","601387008","348897280","7","2"
